Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,22,58.3,8.0,5185,443,1382,2366,1480,278,5183,151,67,44.4,66,43.7,2964,16662,8703,173,127,46,127,59,3512,357
Aston Villa,23,55.9,8.0,4776,568,1507,2121,1180,162,4776,145,44,30.3,83,57.2,2860,14258,7200,119,78,25,108,92,3174,304
Bournemouth,23,50.5,8.0,4765,501,1524,2043,1250,193,4764,166,65,39.2,78,47.0,2554,13605,7327,138,119,37,109,75,2857,291
Brentford,20,41.3,8.0,3973,550,1557,1644,816,163,3971,138,52,37.7,73,52.9,1814,9834,4925,103,65,37,125,61,2258,192
Brighton,21,46.8,8.0,4431,545,1566,1891,1029,181,4428,152,62,40.8,74,48.7,2553,13796,7620,148,79,48,131,79,2743,274
Burnley,22,35.1,8.0,3759,595,1464,1554,771,104,3759,86,31,36.0,43,50.0,1805,7541,3845,60,43,16,103,60,2022,171
Chelsea,25,58.6,8.0,5395,535,1664,2581,1198,185,5394,159,64,40.3,71,44.7,3217,15304,8072,159,85,42,118,79,3806,309
Crystal Palace,20,42.6,8.0,4219,584,1622,1767,870,186,4217,90,33,36.7,40,44.4,2080,10021,5420,89,64,18,98,62,2459,249
Everton,19,44.1,8.0,4325,506,1458,1782,1129,186,4324,160,58,36.3,73,45.6,2398,11771,5600,121,95,39,143,78,2541,257
Fulham,21,48.9,8.0,4637,609,1760,1873,1047,168,4637,122,50,41.0,57,46.7,2788,14378,7220,143,102,26,137,58,2978,269
Leeds United,22,47.3,9.0,5226,556,1754,2408,1123,185,5225,142,51,35.9,72,50.7,2733,14194,7475,140,101,39,132,81,3306,275
Liverpool,22,61.9,8.0,5533,511,1666,2459,1447,240,5532,139,54,38.8,70,50.4,3238,16872,9492,205,125,61,133,70,3743,398
Manchester City,23,58.8,8.0,5754,526,1659,2698,1432,226,5754,192,91,47.4,76,39.6,3588,18036,9321,205,137,72,119,87,4160,319
Manchester Utd,20,50.9,8.0,4711,506,1426,2159,1162,201,4708,108,40,37.0,59,54.6,2480,12339,6610,154,95,46,125,66,2921,311
Newcastle Utd,21,50.0,8.0,4637,472,1448,1990,1245,189,4636,136,50,36.8,65,47.8,2659,12450,6086,127,74,34,115,55,2884,345
Nott'ham Forest,25,55.3,8.0,5255,512,1615,2268,1416,185,5255,135,60,44.4,61,45.2,2929,14928,8035,154,123,35,119,60,3604,372
Sunderland,23,43.6,8.0,4276,523,1486,1930,903,126,4275,98,49,50.0,46,46.9,2427,12163,6272,95,82,16,82,66,2543,225
Tottenham,20,55.3,8.0,4868,534,1645,2054,1220,209,4868,188,79,42.0,91,48.4,2642,14896,7338,153,96,41,145,75,3161,301
West Ham,25,47.2,9.0,5093,628,1724,2276,1133,147,5092,159,55,34.6,81,50.9,2602,14146,6971,102,96,20,120,76,3192,287
Wolves,23,48.6,8.0,4653,569,1621,2110,973,171,4653,116,51,44.0,55,47.4,2386,12231,5922,101,79,18,125,71,2865,243
