Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,22,8.0,3,65,18,27.7,8.12,2.25,0.05,0.17,17.4,2,0,0,4.7,4.7,0.07,-1.7,-1.7
vs Aston Villa,23,8.0,8,90,22,24.4,11.25,2.75,0.08,0.32,16.6,0,1,1,10.6,9.8,0.11,-2.6,-2.8
vs Bournemouth,23,8.0,11,90,33,36.7,11.25,4.12,0.11,0.3,16.4,1,1,1,10.7,10.0,0.11,0.3,0.0
vs Brentford,20,8.0,11,99,28,28.3,12.38,3.5,0.1,0.36,18.1,1,1,2,10.0,8.4,0.09,1.0,1.6
vs Brighton,21,8.0,9,88,24,27.3,11.0,3.0,0.09,0.33,16.4,5,1,1,10.5,9.7,0.11,-1.5,-1.7
vs Burnley,22,8.0,12,148,42,28.4,18.5,5.25,0.07,0.24,15.9,2,2,2,15.8,14.3,0.1,-3.8,-4.3
vs Chelsea,25,8.0,9,88,24,27.3,11.0,3.0,0.1,0.38,16.2,5,0,0,11.9,11.9,0.14,-2.9,-2.9
vs Crystal Palace,20,8.0,8,96,25,26.0,12.0,3.12,0.07,0.28,15.7,2,1,1,10.8,10.0,0.11,-2.8,-3.0
vs Everton,19,8.0,9,110,29,26.4,13.75,3.62,0.07,0.28,17.5,2,1,2,11.9,10.4,0.1,-2.9,-2.4
vs Fulham,21,8.0,11,84,32,38.1,10.5,4.0,0.11,0.28,16.3,1,2,3,10.7,8.3,0.1,0.3,0.7
vs Leeds United,22,9.0,13,87,30,34.5,9.67,3.33,0.14,0.4,17.6,5,1,1,9.0,8.2,0.1,4.0,3.8
vs Liverpool,22,8.0,11,83,26,31.3,10.37,3.25,0.13,0.42,16.1,4,0,0,9.2,9.2,0.11,1.8,1.8
vs Manchester City,23,8.0,6,76,23,30.3,9.5,2.87,0.07,0.22,16.3,1,1,1,8.2,7.4,0.1,-2.2,-2.4
vs Manchester Utd,20,8.0,12,83,33,39.8,10.37,4.12,0.14,0.36,14.2,2,0,0,12.5,12.5,0.15,-0.5,-0.5
vs Newcastle Utd,21,8.0,7,75,29,38.7,9.37,3.62,0.09,0.24,18.0,4,0,0,5.7,5.7,0.08,1.3,1.3
vs Nott'ham Forest,25,8.0,15,101,40,39.6,12.62,5.0,0.12,0.3,15.5,3,3,3,14.1,11.8,0.12,0.9,0.2
vs Sunderland,23,8.0,6,104,31,29.8,13.0,3.87,0.06,0.19,17.7,1,0,1,9.5,8.7,0.09,-3.5,-2.7
vs Tottenham,20,8.0,7,96,31,32.3,12.0,3.87,0.07,0.23,17.9,3,0,0,9.0,9.0,0.1,-2.0,-2.0
vs West Ham,25,9.0,20,132,44,33.3,14.67,4.89,0.14,0.43,14.0,1,1,1,14.9,14.1,0.11,5.1,4.9
vs Wolves,23,8.0,15,96,31,32.3,12.0,3.87,0.16,0.48,18.5,6,0,0,10.0,10.0,0.11,5.0,5.0
