Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,22,26.9,41.8,8,88,720,8.0,3,2,5,3,0,0,12,0,4.7,4.7,4.2,8.9,111,195,0.37,0.25,0.62,0.37,0.62,0.59,0.53,1.12,0.59,1.12
vs Aston Villa,23,27.1,44.1,8,88,720,8.0,8,5,13,7,1,1,17,1,10.6,9.8,7.9,17.7,126,227,1.0,0.62,1.62,0.87,1.5,1.32,0.99,2.31,1.22,2.22
vs Bournemouth,23,27.1,49.5,8,88,720,8.0,11,7,18,10,1,1,16,1,10.7,10.0,8.0,18.0,122,265,1.37,0.87,2.25,1.25,2.12,1.34,1.0,2.34,1.25,2.25
vs Brentford,20,26.5,58.8,8,88,720,8.0,11,7,18,10,1,2,17,0,10.0,8.4,6.6,15.0,149,304,1.37,0.87,2.25,1.25,2.12,1.25,0.83,2.08,1.05,1.88
vs Brighton,21,26.6,53.3,8,88,720,8.0,9,6,15,8,1,1,21,1,10.5,9.7,7.3,17.0,139,285,1.13,0.75,1.87,1.0,1.75,1.31,0.91,2.22,1.21,2.13
vs Burnley,22,26.4,64.9,8,88,720,8.0,12,8,20,10,2,2,10,0,15.8,14.3,11.5,25.8,239,394,1.5,1.0,2.5,1.25,2.25,1.97,1.44,3.41,1.78,3.22
vs Chelsea,25,26.9,41.4,8,88,720,8.0,9,9,18,9,0,0,19,1,11.9,11.9,10.5,22.4,117,263,1.13,1.13,2.25,1.13,2.25,1.49,1.31,2.8,1.49,2.8
vs Crystal Palace,20,26.6,57.4,8,88,720,8.0,8,3,11,7,1,1,20,0,10.8,10.0,6.7,16.7,131,349,1.0,0.37,1.37,0.87,1.25,1.35,0.84,2.19,1.25,2.09
vs Everton,19,26.7,55.9,8,88,720,8.0,9,7,16,8,1,2,15,0,11.9,10.4,7.9,18.3,133,318,1.13,0.87,2.0,1.0,1.87,1.48,0.98,2.47,1.31,2.29
vs Fulham,21,26.2,51.1,8,88,720,8.0,11,8,19,9,2,3,10,0,10.7,8.3,6.2,14.5,147,329,1.37,1.0,2.37,1.13,2.12,1.34,0.77,2.1,1.04,1.81
vs Leeds United,22,26.8,52.7,9,99,810,9.0,13,10,23,12,1,1,15,0,9.0,8.2,6.0,14.2,134,340,1.44,1.11,2.56,1.33,2.44,1.0,0.67,1.67,0.91,1.58
vs Liverpool,22,26.9,38.1,8,88,720,8.0,11,9,20,11,0,0,14,2,9.2,9.2,7.4,16.6,111,208,1.37,1.13,2.5,1.37,2.5,1.15,0.93,2.08,1.15,2.08
vs Manchester City,23,26.7,41.3,8,88,720,8.0,6,4,10,5,1,1,16,0,8.2,7.4,5.3,12.7,112,213,0.75,0.5,1.25,0.62,1.13,1.02,0.67,1.69,0.93,1.59
vs Manchester Utd,20,26.2,49.1,8,88,720,8.0,12,9,21,12,0,0,21,1,12.5,12.5,10.0,22.5,127,280,1.5,1.13,2.62,1.5,2.62,1.56,1.24,2.81,1.56,2.81
vs Newcastle Utd,21,26.6,50.0,8,88,720,8.0,7,6,13,7,0,0,16,1,5.7,5.7,4.7,10.4,117,288,0.87,0.75,1.62,0.87,1.62,0.71,0.59,1.3,0.71,1.3
vs Nott'ham Forest,25,26.2,44.8,8,88,720,8.0,15,10,25,12,3,3,13,1,14.1,11.8,10.1,21.9,139,283,1.87,1.25,3.12,1.5,2.75,1.76,1.26,3.02,1.47,2.73
vs Sunderland,23,27.0,56.5,8,88,720,8.0,6,5,11,6,0,1,10,0,9.5,8.7,6.0,14.8,137,356,0.75,0.62,1.37,0.75,1.37,1.19,0.75,1.94,1.09,1.84
vs Tottenham,20,26.9,44.8,8,88,720,8.0,7,3,10,7,0,0,10,1,9.0,9.0,6.6,15.6,90,244,0.87,0.37,1.25,0.87,1.25,1.13,0.82,1.95,1.13,1.95
vs West Ham,25,26.2,52.9,9,99,810,9.0,20,13,33,19,1,1,12,0,14.9,14.1,10.9,25.0,170,348,2.22,1.44,3.67,2.11,3.56,1.66,1.21,2.87,1.57,2.78
vs Wolves,23,26.8,51.4,8,88,720,8.0,15,12,27,15,0,0,14,0,10.0,10.0,8.6,18.7,138,324,1.87,1.5,3.38,1.87,3.38,1.25,1.08,2.33,1.25,2.33
